indicator_id,name,unit,visual_id,document_id
ind01033,5_residential_renovation_volume_data_volume_billion_euros_1,index,Fig01-15,dwr-24-01
ind01034,5_residential_renovation_volume_data_change_percent_1,index,Fig01-15,dwr-24-01
ind01035,6_building_permits_residential_data_total_residential_construction_1,index,Fig01-16,dwr-24-01
ind01036,6_building_permits_residential_data_single_family_semi_detached_1,index,Fig01-16,dwr-24-01
ind01037,6_building_permits_residential_data_multi_family_buildings_1,index,Fig01-16,dwr-24-01
ind01038,6_non_residential_building_permits_data_total_non_residential_1,index,Fig01-17,dwr-24-01
ind01039,6_non_residential_building_permits_data_offices_administrative_1,index,Fig01-17,dwr-24-01
ind01040,6_non_residential_building_permits_data_commercial_storage_1,index,Fig01-17,dwr-24-01
ind01041,6_non_residential_building_permits_data_factories_workshops_1,index,Fig01-17,dwr-24-01
ind01042,7_construction_costs_monthly_data_month_1,index,Fig01-18,dwr-24-01
ind01043,7_construction_costs_monthly_data_new_buildings_1,index,Fig01-18,dwr-24-01
ind01044,7_construction_costs_monthly_data_existing_buildings_1,index,Fig01-18,dwr-24-01
ind01045,7_residential_permits_monthly_data_month_1,index,Fig01-19,dwr-24-01
ind01046,7_residential_permits_monthly_data_new_buildings_1,index,Fig01-19,dwr-24-01
ind01047,7_residential_permits_monthly_data_existing_buildings_1,index,Fig01-19,dwr-24-01
ind3001,executive_boards_gender_share_men_dax40,percent,Fig03-01,dwr-24-03
ind3002,executive_boards_gender_share_men_top200,percent,Fig03-01,dwr-24-03
ind3003,executive_boards_gender_share_men_gov_owned,percent,Fig03-01,dwr-24-03
ind3004,executive_boards_gender_share_women_dax40,percent,Fig03-01,dwr-24-03
ind3005,executive_boards_gender_share_women_top200,percent,Fig03-01,dwr-24-03
ind3006,executive_boards_gender_share_women_gov_owned,percent,Fig03-01,dwr-24-03
ind3007,supervisory_boards_gender_share_men_dax40,percent,Fig03-02,dwr-24-03
ind3008,supervisory_boards_gender_share_men_top200,percent,Fig03-02,dwr-24-03
ind3009,supervisory_boards_gender_share_men_gov_owned,percent,Fig03-02,dwr-24-03
ind3010,supervisory_boards_gender_share_women_dax40,percent,Fig03-02,dwr-24-03
ind3011,supervisory_boards_gender_share_women_top200,percent,Fig03-02,dwr-24-03
ind3012,supervisory_boards_gender_share_women_gov_owned,percent,Fig03-02,dwr-24-03
ind3013,gender_function_share_germany_supervisory_function,percent,Fig03-03,dwr-24-03
ind3014,gender_function_share_eu_supervisory_function,percent,Fig03-03,dwr-24-03
ind3015,gender_function_share_germany_executive_function,percent,Fig03-03,dwr-24-03
ind3016,gender_function_share_eu_executive_function,percent,Fig03-03,dwr-24-03
ind3017,inclusion_quota_companies_with_gender_quota,percent,Fig03-04,dwr-24-03
ind3018,inclusion_quota_companies_without_gender_quota,percent,Fig03-04,dwr-24-03
ind3019,inclusion_requirement_companies_with_inclusion_requirement,percent,Fig03-05,dwr-24-03
ind3020,inclusion_requirement_companies_without_inclusion_requirement,percent,Fig03-05,dwr-24-03
ind3021,top200_women_count_year_2021,percent,Fig03-06,dwr-24-03
ind3022,top200_women_count_year_2022,percent,Fig03-06,dwr-24-03
ind3023,top200_women_count_year_2023,percent,Fig03-06,dwr-24-03
ind3024,quota_requirement_women_count_year_2021,percent,Fig03-07,dwr-24-03
ind3025,quota_requirement_women_count_year_2022,percent,Fig03-07,dwr-24-03
ind3026,quota_requirement_women_count_year_2023,percent,Fig03-07,dwr-24-03
ind3027,200_executive_total_number_of_companies,percent,Tab03-01,dwr-24-03
ind3028,200_executive_with_composition_data,percent,Tab03-01,dwr-24-03
ind3029,200_executive_with_women_on_executive_board,percent,Tab03-01,dwr-24-03
ind3030,200_executive_executive_board_-_percentage_share_of_women_members,percent,Tab03-01,dwr-24-03
ind3031,200_executive_total_number_of_executive_board_members,percent,Tab03-01,dwr-24-03
ind3032,200_executive_total_number_of_male_executive_board_members,percent,Tab03-01,dwr-24-03
ind3033,200_executive_total_number_of_female_executive_board_members,percent,Tab03-01,dwr-24-03
ind3034,200_executive_executive_board_-_percentage_share_of_women,percent,Tab03-01,dwr-24-03
ind3035,200_executive_total_number_of_executive_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3036,200_executive_number_of_male_executive_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3037,200_executive_number_of_female_executive_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3038,200_executive_executive_board_-_percentage_share_of_women_chairpersons,percent,Tab03-01,dwr-24-03
ind3039,200_supervisory_total_number_of_companies,percent,Tab03-01,dwr-24-03
ind3040,200_supervisory_with_composition_data,percent,Tab03-01,dwr-24-03
ind3041,200_supervisory_with_women_on_supervisory_board,percent,Tab03-01,dwr-24-03
ind3042,200_supervisory_supervisory_board_-_percentage_share_of_women_members,percent,Tab03-01,dwr-24-03
ind3043,200_supervisory_total_number_of_supervisory_board_members,percent,Tab03-01,dwr-24-03
ind3044,200_supervisory_total_number_of_male_supervisory_board_members,percent,Tab03-01,dwr-24-03
ind3045,200_supervisory_total_number_of_female_supervisory_board_members,percent,Tab03-01,dwr-24-03
ind3046,200_supervisory_supervisory_board_-_percentage_share_of_women,percent,Tab03-01,dwr-24-03
ind3047,200_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3048,200_supervisory_number_of_male_supervisory_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3049,200_supervisory_number_of_female_supervisory_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3050,200_supervisory_supervisory_board_-_percentage_share_of_women_chairpersons,percent,Tab03-01,dwr-24-03
ind3051,100_executive_total_number_of_companies,percent,Tab03-01,dwr-24-03
ind3052,100_executive_with_composition_data,percent,Tab03-01,dwr-24-03
ind3053,100_executive_with_women_on_executive_board,percent,Tab03-01,dwr-24-03
ind3054,100_executive_executive_board_-_percentage_share_of_women_members,percent,Tab03-01,dwr-24-03
ind3055,100_executive_total_number_of_executive_board_members,percent,Tab03-01,dwr-24-03
ind3056,100_executive_total_number_of_male_executive_board_members,percent,Tab03-01,dwr-24-03
ind3057,100_executive_total_number_of_female_executive_board_members,percent,Tab03-01,dwr-24-03
ind3058,100_executive_executive_board_-_percentage_share_of_women,percent,Tab03-01,dwr-24-03
ind3059,100_executive_total_number_of_executive_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3060,100_executive_number_of_male_executive_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3061,100_executive_number_of_female_executive_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3062,100_executive_executive_board_-_percentage_share_of_women_chairpersons,percent,Tab03-01,dwr-24-03
ind3063,100_supervisory_total_number_of_companies,percent,Tab03-01,dwr-24-03
ind3064,100_supervisory_with_composition_data,percent,Tab03-01,dwr-24-03
ind3065,100_supervisory_with_women_on_supervisory_board,percent,Tab03-01,dwr-24-03
ind3066,100_supervisory_supervisory_board_-_percentage_share_of_women_members,percent,Tab03-01,dwr-24-03
ind3067,100_supervisory_total_number_of_supervisory_board_members,percent,Tab03-01,dwr-24-03
ind3068,100_supervisory_total_number_of_male_supervisory_board_members,percent,Tab03-01,dwr-24-03
ind3069,100_supervisory_total_number_of_female_supervisory_board_members,percent,Tab03-01,dwr-24-03
ind3070,100_supervisory_supervisory_board_-_percentage_share_of_women,percent,Tab03-01,dwr-24-03
ind3071,100_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3072,100_supervisory_number_of_male_supervisory_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3073,100_supervisory_number_of_female_supervisory_board_chairpersons,percent,Tab03-01,dwr-24-03
ind3074,100_supervisory_supervisory_board_-_percentage_share_of_women_chairpersons,percent,Tab03-01,dwr-24-03
ind3075,dax_executive_total_number_of_companies,percent,Tab03-02,dwr-24-03
ind3076,dax_executive_total_number_of_companies_-_with_composition_data,percent,Tab03-02,dwr-24-03
ind3077,dax_executive_total_number_of_companies_-_with_women_on_executive_board,percent,Tab03-02,dwr-24-03
ind3078,dax_executive_total_number_of_companies_-_executive_board_-_percentage_share_of_companies_with_women,percent,Tab03-02,dwr-24-03
ind3079,dax_executive_total_number_of_executive_board_members,percent,Tab03-02,dwr-24-03
ind3080,dax_executive_total_number_of_executive_board_members_-_men,percent,Tab03-02,dwr-24-03
ind3081,dax_executive_total_number_of_executive_board_members_-_women,percent,Tab03-02,dwr-24-03
ind3082,dax_executive_total_number_of_executive_board_members_-_percentage_share_of_women,percent,Tab03-02,dwr-24-03
ind3083,dax_executive_total_number_of_executive_board_chairpersons,percent,Tab03-02,dwr-24-03
ind3084,dax_executive_total_number_of_executive_board_chairpersons_-_men,percent,Tab03-02,dwr-24-03
ind3085,dax_executive_total_number_of_executive_board_chairpersons_-_women,percent,Tab03-02,dwr-24-03
ind3086,dax_executive_total_number_of_executive_board_chairpersons_-_percentage_share_of_women_chairpersons,percent,Tab03-02,dwr-24-03
ind3087,dax_supervisory_total_number_of_companies,percent,Tab03-02,dwr-24-03
ind3088,dax_supervisory_total_number_of_companies_-_with_composition_data,percent,Tab03-02,dwr-24-03
ind3089,dax_supervisory_total_number_of_companies_-_with_women_on_supervisory_board,percent,Tab03-02,dwr-24-03
ind3090,dax_supervisory_total_number_of_companies_-_supervisory_board_-_percentage_share_of_companies_with_women,percent,Tab03-02,dwr-24-03
ind3091,dax_supervisory_total_number_of_supervisory_board_members,percent,Tab03-02,dwr-24-03
ind3092,dax_supervisory_total_number_of_supervisory_board_members_-_men,percent,Tab03-02,dwr-24-03
ind3093,dax_supervisory_total_number_of_supervisory_board_members_-_women,percent,Tab03-02,dwr-24-03
ind3094,dax_supervisory_total_number_of_supervisory_board_members_-_percentage_share_of_women,percent,Tab03-02,dwr-24-03
ind3095,dax_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-02,dwr-24-03
ind3096,dax_supervisory_total_number_of_supervisory_board_chairpersons_-_men,percent,Tab03-02,dwr-24-03
ind3097,dax_supervisory_total_number_of_supervisory_board_chairpersons_-_women,percent,Tab03-02,dwr-24-03
ind3098,dax_supervisory_total_number_of_supervisory_board_chairpersons_-_percentage_share_of_women_chairpersons,percent,Tab03-02,dwr-24-03
ind3099,mdax_executive_total_number_of_companies,percent,Tab03-02,dwr-24-03
ind3100,mdax_executive_total_number_of_companies_-_with_composition_data,percent,Tab03-02,dwr-24-03
ind3101,mdax_executive_total_number_of_companies_-_with_women_on_executive_board,percent,Tab03-02,dwr-24-03
ind3102,mdax_executive_total_number_of_companies_-_executive_board_-_percentage_share_of_companies_with_women,percent,Tab03-02,dwr-24-03
ind3103,mdax_executive_total_number_of_executive_board_members,percent,Tab03-02,dwr-24-03
ind3104,mdax_executive_total_number_of_executive_board_members_-_men,percent,Tab03-02,dwr-24-03
ind3105,mdax_executive_total_number_of_executive_board_members_-_women,percent,Tab03-02,dwr-24-03
ind3106,mdax_executive_total_number_of_executive_board_members_-_percentage_share_of_women,percent,Tab03-02,dwr-24-03
ind3107,mdax_executive_total_number_of_executive_board_chairpersons,percent,Tab03-02,dwr-24-03
ind3108,mdax_executive_total_number_of_executive_board_chairpersons_-_men,percent,Tab03-02,dwr-24-03
ind3109,mdax_executive_total_number_of_executive_board_chairpersons_-_women,percent,Tab03-02,dwr-24-03
ind3110,mdax_executive_total_number_of_executive_board_chairpersons_-_percentage_share_of_women_chairpersons,percent,Tab03-02,dwr-24-03
ind3111,mdax_supervisory_total_number_of_companies,percent,Tab03-02,dwr-24-03
ind3112,mdax_supervisory_total_number_of_companies_-_with_composition_data,percent,Tab03-02,dwr-24-03
ind3113,mdax_supervisory_total_number_of_companies_-_with_women_on_supervisory_board,percent,Tab03-02,dwr-24-03
ind3114,mdax_supervisory_total_number_of_companies_-_supervisory_board_-_percentage_share_of_companies_with_women,percent,Tab03-02,dwr-24-03
ind3115,mdax_supervisory_total_number_of_supervisory_board_members,percent,Tab03-02,dwr-24-03
ind3116,mdax_supervisory_total_number_of_supervisory_board_members_-_men,percent,Tab03-02,dwr-24-03
ind3117,mdax_supervisory_total_number_of_supervisory_board_members_-_women,percent,Tab03-02,dwr-24-03
ind3118,mdax_supervisory_total_number_of_supervisory_board_members_-_percentage_share_of_women,percent,Tab03-02,dwr-24-03
ind3119,mdax_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-02,dwr-24-03
ind3120,mdax_supervisory_total_number_of_supervisory_board_chairpersons_-_men,percent,Tab03-02,dwr-24-03
ind3121,mdax_supervisory_total_number_of_supervisory_board_chairpersons_-_women,percent,Tab03-02,dwr-24-03
ind3122,mdax_supervisory_total_number_of_supervisory_board_chairpersons_-_percentage_share_of_women_chairpersons,percent,Tab03-02,dwr-24-03
ind3123,sdax_executive_total_number_of_companies,percent,Tab03-03,dwr-24-03
ind3124,sdax_executive_total_number_of_companies_-_with_composition_data,percent,Tab03-03,dwr-24-03
ind3125,sdax_executive_total_number_of_companies_-_with_women_on_executive_board,percent,Tab03-03,dwr-24-03
ind3126,sdax_executive_total_number_of_companies_-_executive_board_-_percentage_share_of_companies_with_women,percent,Tab03-03,dwr-24-03
ind3127,sdax_executive_total_number_of_executive_board_members,percent,Tab03-03,dwr-24-03
ind3128,sdax_executive_total_number_of_executive_board_members_-_men,percent,Tab03-03,dwr-24-03
ind3129,sdax_executive_total_number_of_executive_board_members_-_women,percent,Tab03-03,dwr-24-03
ind3130,sdax_executive_total_number_of_executive_board_members_-_percentage_share_of_women,percent,Tab03-03,dwr-24-03
ind3131,sdax_executive_total_number_of_executive_board_chairpersons,percent,Tab03-03,dwr-24-03
ind3132,sdax_executive_total_number_of_executive_board_chairpersons_-_men,percent,Tab03-03,dwr-24-03
ind3133,sdax_executive_total_number_of_executive_board_chairpersons_-_women,percent,Tab03-03,dwr-24-03
ind3134,sdax_executive_total_number_of_executive_board_chairpersons_-_percentage_share_of_women,percent,Tab03-03,dwr-24-03
ind3135,sdax_supervisory_total_number_of_companies,percent,Tab03-03,dwr-24-03
ind3136,sdax_supervisory_total_number_of_companies_-_with_composition_data,percent,Tab03-03,dwr-24-03
ind3137,sdax_supervisory_total_number_of_companies_-_with_women_on_supervisory_board,percent,Tab03-03,dwr-24-03
ind3138,sdax_supervisory_total_number_of_companies_-_supervisory_board_-_percentage_share_of_companies_with_women,percent,Tab03-03,dwr-24-03
ind3139,sdax_supervisory_total_number_of_supervisory_board_members,percent,Tab03-03,dwr-24-03
ind3140,sdax_supervisory_total_number_of_supervisory_board_members_-_men,percent,Tab03-03,dwr-24-03
ind3141,sdax_supervisory_total_number_of_supervisory_board_members_-_women,percent,Tab03-03,dwr-24-03
ind3142,sdax_supervisory_total_number_of_supervisory_board_members_-_percentage_share_of_women,percent,Tab03-03,dwr-24-03
ind3143,sdax_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-03,dwr-24-03
ind3144,sdax_supervisory_total_number_of_supervisory_board_chairpersons_-_men,percent,Tab03-03,dwr-24-03
ind3145,sdax_supervisory_total_number_of_supervisory_board_chairpersons_-_women,percent,Tab03-03,dwr-24-03
ind3146,sdax_supervisory_total_number_of_supervisory_board_chairpersons_-_percentage_share_of_women,percent,Tab03-03,dwr-24-03
ind3147,tecdax_executive_total_number_of_companies,percent,Tab03-03,dwr-24-03
ind3148,tecdax_executive_total_number_of_companies_-_with_composition_data,percent,Tab03-03,dwr-24-03
ind3149,tecdax_executive_total_number_of_companies_-_with_women_on_executive_board,percent,Tab03-03,dwr-24-03
ind3150,tecdax_executive_total_number_of_companies_-_executive_board_-_percentage_share_of_companies_with_women,percent,Tab03-03,dwr-24-03
ind3151,tecdax_executive_total_number_of_executive_board_members,percent,Tab03-03,dwr-24-03
ind3152,tecdax_executive_total_number_of_executive_board_members_-_men,percent,Tab03-03,dwr-24-03
ind3153,tecdax_executive_total_number_of_executive_board_members_-_women,percent,Tab03-03,dwr-24-03
ind3154,tecdax_executive_total_number_of_executive_board_members_-_percentage_share_of_women,percent,Tab03-03,dwr-24-03
ind3155,tecdax_executive_total_number_of_executive_board_chairpersons,percent,Tab03-03,dwr-24-03
ind3156,tecdax_executive_total_number_of_executive_board_chairpersons_-_men,percent,Tab03-03,dwr-24-03
ind3157,tecdax_executive_total_number_of_executive_board_chairpersons_-_women,percent,Tab03-03,dwr-24-03
ind3158,tecdax_executive_total_number_of_executive_board_chairpersons_-_percentage_share_of_women,percent,Tab03-03,dwr-24-03
ind3159,tecdax_supervisory_total_number_of_companies,percent,Tab03-03,dwr-24-03
ind3160,tecdax_supervisory_total_number_of_companies_-_with_composition_data,percent,Tab03-03,dwr-24-03
ind3161,tecdax_supervisory_total_number_of_companies_-_with_women_on_supervisory_board,percent,Tab03-03,dwr-24-03
ind3162,tecdax_supervisory_total_number_of_companies_-_supervisory_board_-_percentage_share_of_companies_with_women,percent,Tab03-03,dwr-24-03
ind3163,tecdax_supervisory_total_number_of_supervisory_board_members,percent,Tab03-03,dwr-24-03
ind3164,tecdax_supervisory_total_number_of_supervisory_board_members_-_men,percent,Tab03-03,dwr-24-03
ind3165,tecdax_supervisory_total_number_of_supervisory_board_members_-_women,percent,Tab03-03,dwr-24-03
ind3166,tecdax_supervisory_total_number_of_supervisory_board_members_-_percentage_share_of_women,percent,Tab03-03,dwr-24-03
ind3167,tecdax_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-03,dwr-24-03
ind3168,tecdax_supervisory_total_number_of_supervisory_board_chairpersons_-_men,percent,Tab03-03,dwr-24-03
ind3169,tecdax_supervisory_total_number_of_supervisory_board_chairpersons_-_women,percent,Tab03-03,dwr-24-03
ind3170,tecdax_supervisory_total_number_of_supervisory_board_chairpersons_-_percentage_share_of_women,percent,Tab03-03,dwr-24-03
ind3171,gov-owned_executive_total_number_of_companies,percent,Tab03-04,dwr-24-03
ind3172,gov-owned_executive_with_composition_data,percent,Tab03-04,dwr-24-03
ind3173,gov-owned_executive_total_number_of_companies_-_with_women_on_executive_board,percent,Tab03-04,dwr-24-03
ind3174,gov-owned_executive_total_number_of_companies_-_executive_board_-_percentage_share_of_companies_with_women,percent,Tab03-04,dwr-24-03
ind3175,gov-owned_executive_total_number_of_executive_board_members,percent,Tab03-04,dwr-24-03
ind3176,gov-owned_executive_total_number_of_executive_board_members_-_men,percent,Tab03-04,dwr-24-03
ind3177,gov-owned_executive_total_number_of_executive_board_members_-_women,percent,Tab03-04,dwr-24-03
ind3178,gov-owned_executive_total_number_of_executive_board_members_-_percentage_share_of_women,percent,Tab03-04,dwr-24-03
ind3179,gov-owned_executive_total_number_of_executive_board_chairpersons,percent,Tab03-04,dwr-24-03
ind3180,gov-owned_executive_total_number_of_executive_board_chairpersons_-_men,percent,Tab03-04,dwr-24-03
ind3181,gov-owned_executive_total_number_of_executive_board_chairpersons_-_women,percent,Tab03-04,dwr-24-03
ind3182,gov-owned_executive_total_number_of_executive_board_chairpersons_-_percentage_share_of_women,percent,Tab03-04,dwr-24-03
ind3183,gov-owned_supervisory_total_number_of_companies,percent,Tab03-04,dwr-24-03
ind3184,gov-owned_supervisory_with_composition_data,percent,Tab03-04,dwr-24-03
ind3185,gov-owned_supervisory_total_number_of_companies_-_with_women_on_supervisory_board,percent,Tab03-04,dwr-24-03
ind3186,gov-owned_supervisory_total_number_of_companies_-_supervisory_board_-_percentage_share_of_companies_with_women,percent,Tab03-04,dwr-24-03
ind3187,gov-owned_supervisory_total_number_of_supervisory_board_members,percent,Tab03-04,dwr-24-03
ind3188,gov-owned_supervisory_total_number_of_supervisory_board_members_-_men,percent,Tab03-04,dwr-24-03
ind3189,gov-owned_supervisory_total_number_of_supervisory_board_members_-_women,percent,Tab03-04,dwr-24-03
ind3190,gov-owned_supervisory_total_number_of_supervisory_board_members_-_percentage_share_of_women,percent,Tab03-04,dwr-24-03
ind3191,gov-owned_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-04,dwr-24-03
ind3192,gov-owned_supervisory_total_number_of_supervisory_board_chairpersons_-_men,percent,Tab03-04,dwr-24-03
ind3193,gov-owned_supervisory_total_number_of_supervisory_board_chairpersons_-_women,percent,Tab03-04,dwr-24-03
ind3194,gov-owned_supervisory_total_number_of_supervisory_board_chairpersons_-_percentage_share_of_women,percent,Tab03-04,dwr-24-03
ind3195,banks_executive_total_number_of_companies,percent,Tab03-05,dwr-24-03
ind3196,banks_executive_total_number_of_companies_-_with_composition_data,percent,Tab03-05,dwr-24-03
ind3197,banks_executive_total_number_of_companies_-_with_women_on_executive_board,percent,Tab03-05,dwr-24-03
ind3198,banks_executive_total_number_of_companies_-_percentage_share_with_women,percent,Tab03-05,dwr-24-03
ind3199,banks_executive_total_number_of_executive_board_members,percent,Tab03-05,dwr-24-03
ind3200,banks_executive_total_number_of_executive_board_members_-_men,percent,Tab03-05,dwr-24-03
ind3201,banks_executive_total_number_of_executive_board_members_-_women,percent,Tab03-05,dwr-24-03
ind3202,banks_executive_total_number_of_executive_board_members_-_percentage_share_of_women,percent,Tab03-05,dwr-24-03
ind3203,banks_executive_total_number_of_executive_board_chairpersons,percent,Tab03-05,dwr-24-03
ind3204,banks_executive_total_number_of_executive_board_chairpersons_-_men,percent,Tab03-05,dwr-24-03
ind3205,banks_executive_total_number_of_executive_board_chairpersons_-_women,percent,Tab03-05,dwr-24-03
ind3206,banks_executive_total_number_of_executive_board_chairpersons_-_percentage_share_of_women,percent,Tab03-05,dwr-24-03
ind3207,banks_supervisory_total_number_of_companies,percent,Tab03-05,dwr-24-03
ind3208,banks_supervisory_total_number_of_companies_-_with_composition_data,percent,Tab03-05,dwr-24-03
ind3209,banks_supervisory_total_number_of_companies_-_with_women_on_supervisory_board,percent,Tab03-05,dwr-24-03
ind3210,banks_supervisory_total_number_of_companies_-_percentage_share_with_women,percent,Tab03-05,dwr-24-03
ind3211,banks_supervisory_total_number_of_supervisory_board_members,percent,Tab03-05,dwr-24-03
ind3212,banks_supervisory_total_number_of_supervisory_board_members_-_men,percent,Tab03-05,dwr-24-03
ind3213,banks_supervisory_total_number_of_supervisory_board_members_-_women,percent,Tab03-05,dwr-24-03
ind3214,banks_supervisory_total_number_of_supervisory_board_members_-_percentage_share_of_women,percent,Tab03-05,dwr-24-03
ind3215,banks_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-05,dwr-24-03
ind3216,banks_supervisory_total_number_of_supervisory_board_chairpersons_-_men,percent,Tab03-05,dwr-24-03
ind3217,banks_supervisory_total_number_of_supervisory_board_chairpersons_-_women,percent,Tab03-05,dwr-24-03
ind3218,banks_supervisory_total_number_of_supervisory_board_chairpersons_-_percentage_share_of_women,percent,Tab03-05,dwr-24-03
ind3219,insurance_executive_total_number_of_companies,percent,Tab03-05,dwr-24-03
ind3220,insurance_executive_total_number_of_companies_-_with_composition_data,percent,Tab03-05,dwr-24-03
ind3221,insurance_executive_total_number_of_companies_-_with_women_on_executive_board,percent,Tab03-05,dwr-24-03
ind3222,insurance_executive_total_number_of_companies_-_percentage_share_with_women,percent,Tab03-05,dwr-24-03
ind3223,insurance_executive_total_number_of_executive_board_members,percent,Tab03-05,dwr-24-03
ind3224,insurance_executive_total_number_of_executive_board_members_-_men,percent,Tab03-05,dwr-24-03
ind3225,insurance_executive_total_number_of_executive_board_members_-_women,percent,Tab03-05,dwr-24-03
ind3226,insurance_executive_total_number_of_executive_board_members_-_percentage_share_of_women,percent,Tab03-05,dwr-24-03
ind3227,insurance_executive_total_number_of_executive_board_chairpersons,percent,Tab03-05,dwr-24-03
ind3228,insurance_executive_total_number_of_executive_board_chairpersons_-_men,percent,Tab03-05,dwr-24-03
ind3229,insurance_executive_total_number_of_executive_board_chairpersons_-_women,percent,Tab03-05,dwr-24-03
ind3230,insurance_executive_total_number_of_executive_board_chairpersons_-_percentage_share_of_women,percent,Tab03-05,dwr-24-03
ind3231,insurance_supervisory_total_number_of_companies,percent,Tab03-05,dwr-24-03
ind3232,insurance_supervisory_total_number_of_companies_-_with_composition_data,percent,Tab03-05,dwr-24-03
ind3233,insurance_supervisory_total_number_of_companies_-_with_women_on_supervisory_board,percent,Tab03-05,dwr-24-03
ind3234,insurance_supervisory_total_number_of_companies_-_percentage_share_with_women,percent,Tab03-05,dwr-24-03
ind3235,insurance_supervisory_total_number_of_supervisory_board_members,percent,Tab03-05,dwr-24-03
ind3236,insurance_supervisory_total_number_of_supervisory_board_members_-_men,percent,Tab03-05,dwr-24-03
ind3237,insurance_supervisory_total_number_of_supervisory_board_members_-_women,percent,Tab03-05,dwr-24-03
ind3238,insurance_supervisory_total_number_of_supervisory_board_members_-_percentage_share_of_women,percent,Tab03-05,dwr-24-03
ind3239,insurance_supervisory_total_number_of_supervisory_board_chairpersons,percent,Tab03-05,dwr-24-03
ind3240,insurance_supervisory_total_number_of_supervisory_board_chairpersons_-_men,percent,Tab03-05,dwr-24-03
ind3241,insurance_supervisory_total_number_of_supervisory_board_chairpersons_-_women,percent,Tab03-05,dwr-24-03
